TEST CASE ID,MODULE/FEATURE,TEST NAME,PRE-CONDITION,TEST STEPS,TEST DATA,EXPECTED RESULT
TC_PT_CMT_011,Builder,[Medium][Negative] Builder nhận message thiếu field sources,"- Queue có message thiếu field sources","1. Push message không có field sources vào queue
2. Builder consume
3. Quan sát log","Input: { ""request"": { ""url"": ""https://pantip.com/api/..."" } } (thiếu sources)","- Builder log lỗi: Invalid message: missing sources field
- Message bị reject hoặc đưa vào dead letter queue
- Builder KHÔNG crash, tiếp tục xử lý message tiếp theo"
TC_PT_CMT_012,Builder,[Medium][Negative] Builder nhận message với topic_id không hợp lệ (string rỗng),"- Queue có message với topic_id rỗng","1. Push message với topic_id="""" vào queue
2. Builder process
3. Kiểm tra log và output queue","Message: { ""sources"": { ""topic_id"": """", ""link"": """", ""platform"": 14 } }","- Builder từ chối build request
- Log warning: Invalid topic_id: empty string
- Message không được forward sang crawling_requests"
TC_PT_CMT_013,Builder,[Low][Edge] Builder xử lý batch nhiều messages cùng lúc,"- Queue có 100 messages hợp lệ
- Builder đang chạy với concurrency=1","1. Push 100 messages vào queue
2. Theo dõi throughput của Builder
3. Kiểm tra số messages trong crawling_requests","100 messages với topic_id từ 20001 đến 20100","- 100 requests được build và push vào crawling_requests
- Không có duplicate hoặc mất message
- Thời gian xử lý tỷ lệ thuận với số lượng"
TC_PT_CMT_014,Crawler,[High][Positive] Crawler gọi đúng Pantip API với proxy và lấy được comment data,"- Crawler service đang chạy
- Proxy type PT_COMMENT_NO_COOKIE_CRAWLER có sẵn proxy hợp lệ
- Queue cl.pt.comments_no_cookie_crawling_requests có message","1. Push request message vào crawling_requests
2. Crawler consume và gọi API Pantip
3. Kiểm tra queue crawled_sources
4. Kiểm tra log response","Request: { ""url"": ""https://pantip.com/api/v2/post/12345/comments"", ""method"": ""GET"", ""headers"": { ""User-Agent"": ""..."" } }
Proxy: active proxy từ proxy manager","- API Pantip trả về HTTP 200
- Response chứa danh sách comments
- Message crawled_source đẩy vào exchange cl.pt.crawled_source
- Log: Crawled topic_id=12345, comments: 50"
TC_PT_CMT_015,Crawler,[High][Positive] Crawler phân trang đúng – nhận next_id và gọi API page tiếp theo,"- Pantip API trả về response có next_id (còn trang tiếp theo)
- CRAWLER_CONFIG_PAGING_ENABLE=true","1. Crawler gọi API Pantip lần đầu
2. API trả về response với next_id: 44044300
3. Kiểm tra resolver đẩy message next_page
4. Kiểm tra queue crawling_sources_next_pages","API Response: { ""success"": true, ""data"": [...50 comments...], ""next_id"": 44044300, ""previous_id"": null }","- Resolver nhận biết còn next page
- Message next_page push vào queue cl.pt.comments_no_cookie_crawling_sources_next_pages
- Message chứa cursor: { ""paging"": { ""next_id"": 44044300 } }"
TC_PT_CMT_016,Crawler,[High][Positive] Crawler dừng phân trang khi API trả về next_id = null,"- Crawler đang ở trang cuối, API trả về next_id: null","1. Crawler gọi API Pantip
2. API trả về next_id: null
3. Kiểm tra queue next_pages và resolver behavior","API Response: { ""success"": true, ""data"": [...10 comments...], ""next_id"": null, ""previous_id"": 44044200 }","- Resolver KHÔNG đẩy message vào queue next_pages
- Source được đánh dấu hoàn thành (release lock Redis)
- Source được update metadata trong MySQL"
TC_PT_CMT_017,Crawler,[High][Negative] Crawler gọi API Pantip và nhận HTTP 429 (Rate Limit),"- Proxy type PT_COMMENT_NO_COOKIE_CRAWLER đang hoạt động
- Pantip trả về 429 khi request quá nhanh","1. Crawler gửi nhiều request liên tiếp
2. Pantip API trả về 429 Too Many Requests
3. Quan sát hành vi retry và log","Request URL: https://pantip.com/api/v2/post/12345/comments
Response: { ""status"": 429, ""message"": ""Too Many Requests"" }","- Crawler log warning: Rate limited (429) for topic_id=12345
- Crawler retry với delay hoặc rotate proxy
- Message KHÔNG bị mất, được requeue hoặc retry
- Sau retry thành công, luồng tiếp tục bình thường"
TC_PT_CMT_018,Crawler,[High][Negative] Crawler gọi API với post_id không tồn tại (HTTP 404),"- Post topic_id=999999999 không tồn tại trên Pantip","1. Push request với topic_id=999999999 vào crawling_requests
2. Crawler gọi API
3. API trả về 404
4. Quan sát hành vi","Request: { ""url"": ""https://pantip.com/api/v2/post/999999999/comments"", ""method"": ""GET"" }","- Crawler log error: 404 Not Found for topic_id=999999999
- Source được đánh dấu failed hoặc not_found
- Không retry vô hạn
- Source được release khỏi Redis"
TC_PT_CMT_019,Crawler,[Medium][Negative] Crawler không có proxy khả dụng,"- Proxy manager không còn proxy hợp lệ (tất cả expired/blocked)
- Table ynm_proxies với type PT_COMMENT_NO_COOKIE_CRAWLER không có active proxy","1. Đảm bảo không có proxy nào active trong system
2. Crawler nhận message từ queue
3. Crawler request proxy từ proxy manager
4. Quan sát log","Proxy Manager response: { ""proxies"": [] } (empty)","- Crawler log error: No available proxy for PT_COMMENT_NO_COOKIE_CRAWLER
- Request KHÔNG được thực hiện
- Message được requeue hoặc đưa vào retry queue
- Alert được trigger (nếu có config)"
TC_PT_CMT_020,Crawler,[Medium][Negative] Crawler gặp timeout khi gọi API Pantip,"- API Pantip phản hồi chậm, vượt quá timeout config
- PT_GRAPH_SERVICE_TIMEOUT=30000 (30s)","1. Simulate API response delay > 30s
2. Crawler gọi API
3. Quan sát timeout behavior
4. Kiểm tra log","Config: PT_GRAPH_SERVICE_TIMEOUT=30000, PT_GRAPH_SERVICE_MAX_RETRIES=3
API delay: 35000ms","- Crawler log: Timeout after 30s for topic_id=12345
- Retry tối đa 3 lần (MAX_RETRIES=3)
- Sau 3 lần fail, source được đánh dấu error
- Message không loop vô hạn"
TC_PT_CMT_021,Crawler,[Medium][Negative] Crawler gọi API và nhận HTTP 403 (Forbidden / IP bị block),"- IP của proxy bị Pantip block","1. Dùng một proxy đã bị block
2. Crawler gọi API
3. Nhận HTTP 403
4. Kiểm tra log và proxy rotation","Request với proxy bị block: { ""proxy"": ""blocked_ip:port"", ""url"": ""https://pantip.com/api/..."" }","- Crawler log: 403 Forbidden – proxy blocked
- Crawler rotate sang proxy khác
- Nếu còn proxy hợp lệ, retry thành công
- Proxy bị block được report về Proxy Manager để deactivate"
TC_PT_CMT_022,Crawler,[Low][Edge] Crawler xử lý post có 0 comment,"- Post topic_id=11111 trên Pantip có 0 comment (comments_count=0)","1. Push request cho post có 0 comment
2. Crawler gọi API
3. API trả về data array rỗng
4. Resolver xử lý","API Response: { ""success"": true, ""data"": [], ""next_id"": null }","- Crawler không crash với empty data
- Resolver không đẩy mention nào vào queue
- Source được đánh dấu hoàn thành
- Log: topic_id=11111: 0 comments crawled"
TC_PT_CMT_023,Crawler,[Low][Edge] Crawler xử lý post có số lượng comment cực lớn (>1000 comments nhiều trang),"- Post topic_id=55555 có hơn 1000 comments, trải qua nhiều page","1. Crawler gọi API page đầu
2. Resolver xử lý next_page liên tục
3. Theo dõi đến khi next_id=null
4. Đếm tổng số comments được crawl","Post: topic_id=55555, comments_count=1200
API response per page: 20 comments
Expected pages: 60","- Tất cả 1200 comments được crawl qua 60 lần phân trang
- Không bị dừng giữa chừng (timeout / memory)
- Cuối cùng next_id=null, source released
- Tổng mention đẩy vào Solr = 1200"
TC_PT_CMT_024,Crawler,[Low][Edge] Concurrent requests – nhiều Crawler cùng xử lý cùng 1 source,"- 2 Crawler instances đang chạy
- Cùng 1 source được push vào queue 2 lần","1. Push duplicate message topic_id=12345 vào queue 2 lần
2. 2 Crawler instances consume
3. Kiểm tra Redis lock
4. Kiểm tra duplicate data trong DB","2 messages giống hệt nhau: { ""sources"": { ""topic_id"": 12345 } }","- Redis lock ngăn 1 trong 2 workers xử lý
- Chỉ 1 worker crawl thực sự
- Không có duplicate mention trong Solr
- Hoặc: cả 2 crawl nhưng upsert logic xử lý duplicate"
TC_PT_CMT_025,Resolver,[High][Positive] Resolver map đúng comment thành Mention với đầy đủ fields,"- Crawler đã push crawled_source message vào exchange cl.pt.crawled_source
- Resolver đang chạy","1. Push crawled_source message có 1 comment vào queue
2. Resolver consume và process
3. Kiểm tra message trong queue Mention
4. Verify từng field mapping","Crawled comment: { ""comment"": { ""_id"": 5001, ""message"": ""นี่คือความคิดเห็น"", ""data_utime"": 1717200000, ""user"": { ""mid"": 9876, ""name"": ""UserA"", ""avatar"": {""large"": ""https://cdn.pantip.com/avatar/9876.jpg""} }, ""comment_no"": 1 }, ""paging"": { ""topic_id"": 12345 } }","Mention được tạo với fields:
- id = hash(uuid từ comment._id và link)
- link = https://pantip.com/topic/12345/comment1
- platform = 14
- domain = pantip.com
- shard = 20240601 (từ data_utime)
- country_code = th
- id_social = 5001
- id_source = user.mid (9876)
- id_reference = 12345 (topic_id)
- id_parent_comment = comment_id
- identity = 9876
- identity_name = UserA
- mention_type = 2
- mention_type_details = 2
- source_type = 1
- search_text = นี่คือความคิดเห็น
- created_date = 1717200000"
TC_PT_CMT_026,Resolver,[High][Positive] Resolver map đúng Reply thành Mention (2-level comment),"- Comment có reply (sub-comment) - level 2","1. Push crawled_source với comment có reply
2. Resolver process
3. Kiểm tra mention cho reply","Reply data: { ""reply_id"": 5002, ""message"": ""ตอบกลับ"", ""comment_no"": 1, ""reply_no"": 1, ""data_utime"": 1717200500, ""user"": { ""mid"": 8765, ""name"": ""UserB"" } }","- Mention reply được tạo với:
- link = https://pantip.com/topic/12345/comment1-1 (format comment_no-reply_no)
- id_social = 5002 (reply_id)
- id_parent_comment = comment._id (5001)
- mention_type = 2"
TC_PT_CMT_027,Resolver,[High][Positive] Resolver map đúng Identity từ comment author,"- Crawled source có comment với đầy đủ thông tin user","1. Push crawled_source có comment
2. Resolver process
3. Kiểm tra message identity trong queue","User: { ""mid"": 9876, ""name"": ""UserA"", ""avatar"": { ""large"": ""https://cdn.pantip.com/avatar/9876.jpg"" } }
data_utime: 1717200000","Identity được tạo với:
- id = pt_9876
- id_social = 9876
- platform = 14
- link = https://pantip.com/profile/9876
- shard = 20240601 (từ data_utime)
- domain = pantip.com
- fullname = UserA
- fb_user_type = 1
- country_code = th
- avatar = https://cdn.pantip.com/avatar/9876.jpg
- created_date = now"
TC_PT_CMT_028,Resolver,[High][Positive] Resolver đúng routing – đẩy Mention vào đúng exchange và queue,"- Resolver đã build xong Mention data","1. Resolver process crawled_source
2. Kiểm tra exchange cl.resolved_data
3. Kiểm tra routing key cho mention","Exchange config: cl.resolved_data
Expected routing key: pattern matching mentions","- Mention được publish vào exchange cl.resolved_data
- Routing key đúng format để được route vào queue mentions
- Identity được publish với routing key cho identities queue
- Không bị nhầm sang queue khác (post queue...)"
TC_PT_CMT_029,Resolver,[Medium][Positive] Resolver xử lý comment có attachment (image URL),"- Comment chứa app_message với type img","1. Push crawled_source với comment có image
2. Resolver process
3. Kiểm tra field attachment trong Mention","Comment: { ""_id"": 5003, ""message"": ""ดูรูปนี้"", ""app_message"": { ""type"": ""img"", ""url"": ""https://pantip.com/images/12345/photo.jpg"" } }","- Mention có attachment = {""type"":""photo"",""media_src"":""https://pantip.com/images/12345/photo.jpg"",""href"":""...""}
- Không phải attachment type status
- search_text = ดูรูปนี้ (text only, không include HTML tag)"
TC_PT_CMT_030,Resolver,[Medium][Positive] Resolver xử lý comment text-only (không có attachment),"- Comment chỉ có text, không có app_message","1. Push crawled_source với comment text-only
2. Resolver process
3. Kiểm tra field attachment trong Mention","Comment: { ""_id"": 5004, ""message"": ""ความเห็นแค่ text"", ""app_message"": null }","- Mention có attachment = {""type"":""status""}
- search_text = ความเห็นแค่ text (plain text)
- Không có HTML tags trong search_text"
TC_PT_CMT_031,Resolver,[Medium][Negative] Resolver nhận crawled_source bị lỗi (API trả về success=false),"- API Pantip trả về success=false trong crawled_source","1. Push crawled_source với success=false
2. Resolver consume
3. Quan sát behavior","Crawled source: { ""success"": false, ""error"": ""Post not found"", ""data"": [] }","- Resolver không tạo mention hay identity từ data lỗi
- Log error: Crawled source error: Post not found for topic_id=12345
- Source xử lý như failed, release lock Redis
- Không đẩy garbage data vào Solr"
TC_PT_CMT_032,Resolver,[Medium][Negative] Resolver xử lý comment có user.mid bị null,"- Comment từ user ẩn danh hoặc bị xóa tài khoản, user.mid = null","1. Push crawled_source với comment có user.mid=null
2. Resolver process
3. Kiểm tra identity được tạo","Comment: { ""_id"": 5005, ""message"": ""ไม่ระบุตัวตน"", ""user"": { ""mid"": null, ""name"": ""ไม่ระบุชื่อ"" } }","- Resolver xử lý gracefully, không crash
- Identity KHÔNG được tạo (hoặc được tạo với id_social=null/unknown)
- Mention vẫn được tạo với identity=null hoặc giá trị mặc định
- Log: Warning: null user.mid for comment._id=5005 [Need Confirm]"
TC_PT_CMT_033,Resolver,[Low][Edge] Resolver xử lý comment có nội dung cực dài (>10000 ký tự),"- Comment trên Pantip có nội dung rất dài","1. Push crawled_source với comment message > 10000 ký tự
2. Resolver process
3. Kiểm tra search_text trong Mention","Comment message: chuỗi 12000 ký tự tiếng Thái (ก×12000)","- Resolver không crash với long text
- search_text được lưu đúng (không bị truncate sai hoặc null)
- Mention được đẩy vào Solr thành công
- Nếu có limit, phải log warning [Need Confirm max length]"
TC_PT_CMT_034,Resolver,[Low][Edge] Resolver xử lý comment chứa ký tự đặc biệt và emoji,"- Comment chứa emoji 🎉, ký tự Unicode đặc biệt, HTML entities","1. Push crawled_source với comment có emoji
2. Resolver process
3. Kiểm tra search_text","Comment: { ""message"": ""ดีมากเลย 🎉🙏 &amp; &lt;script&gt;"" }","- Emoji KHÔNG được lưu trong search_text (per BA spec)
- HTML entities được strip/decode đúng
- Script tags không được inject
- search_text = ดีมากเลย (hoặc tương tự sau khi strip)"
TC_PT_CMT_035,Data Pusher – Mention,[High][Positive] Mention Pusher nhận đúng message và insert vào Solr mentions,"- Data Pusher service đang chạy
- Exchange cl.resolved_data có message Mention
- Solr mentions collection đang hoạt động","1. Resolver đẩy Mention vào exchange cl.resolved_data
2. Mention Pusher consume từ queue
3. Kiểm tra Solr mentions collection
4. Query Solr để verify","Mention data với id_social=5001, platform=14, mention_type=2
Routing key: cl.14.*.*.mentions","- Document được insert vào Solr mentions
- Solr query: id_social:5001 AND platform:14 trả về 1 result
- Tất cả fields mapping đúng với schema
- Không có lỗi Solr: HTTP 200 response"
TC_PT_CMT_036,Data Pusher – Identity,[High][Positive] Identity Pusher insert đúng vào Solr và Redis,"- Identity data được publish vào exchange với routing key identities","1. Resolver đẩy Identity message
2. Identity Pusher (Solr) consume
3. Identity Pusher (Redis) consume
4. Kiểm tra Solr và Redis","Identity: { ""id"": ""pt_9876"", ""id_social"": 9876, ""platform"": 14, ""fullname"": ""UserA"" }
Queue: cl.identities_2_solr_identities và cl.identities_2_redis_identities","- Solr identities có document với id=pt_9876
- Redis có cache identity key cho pt_9876
- Cả 2 stores được update đồng bộ
- created_date = now (không phải data_utime)"
TC_PT_CMT_037,Data Pusher – Mention,[Medium][Negative] Mention Pusher nhận mention có id bị duplicate (đã tồn tại trong Solr),"- Mention với id_social=5001 đã tồn tại trong Solr","1. Đảm bảo Solr đã có mention id_social=5001
2. Push mention duplicate vào queue
3. Data Pusher consume
4. Kiểm tra Solr","Mention mới (duplicate): { ""id_social"": 5001, ""platform"": 14, ""search_text"": ""updated text"" }","- Solr upsert (không tạo duplicate document)
- Document cũ được update với data mới
- Hoặc: bị reject với log warning
- Tổng số document trong Solr không tăng thêm [Need Confirm: upsert hay reject?]"
TC_PT_CMT_038,Data Pusher – Mention,[Medium][Negative] Mention Pusher gặp Solr không kết nối được,"- Solr service bị tắt hoặc unreachable","1. Stop Solr hoặc block kết nối
2. Data Pusher nhận message
3. Quan sát retry behavior","Solr connection error: Connection refused to solr-host:8983","- Data Pusher log error kết nối Solr
- Message được requeue, không bị mất
- Retry theo config
- Alert được trigger (nếu có)"
TC_PT_CMT_039,Integration,[High][Positive] End-to-end flow: từ Loader đến Mention xuất hiện trong Solr,"- Toàn bộ stack đang chạy: Loader, Builder, Crawler, Resolver, Data Pusher
- MongoDB có ≥1 post hợp lệ với comments_count > 0
- Pantip API accessible qua proxy","1. Khởi động tất cả services
2. Loader chạy và load post từ MongoDB
3. Chờ toàn bộ pipeline xử lý (ước tính 2-5 phút)
4. Query Solr mentions với platform=14 AND mention_type=2
5. Kiểm tra count so với comments_count trong MongoDB","MongoDB post: { ""topic_id"": 12345, ""comments_count"": 10 }
Pantip API accessible với proxy hợp lệ","- Solr mentions có ≥10 documents với platform=14, mention_type=2, id_reference=12345
- Identities xuất hiện trong Solr và Redis
- Source trong MySQL được update last_crawl
- Redis lock được release sau khi xong"
TC_PT_CMT_040,Integration,[High][Positive] Kiểm tra link format đúng cho Comment và Reply,"- Resolver đã build Mention cho cả comment gốc và reply","1. Crawl post có comment có reply
2. Lấy Mention từ Solr
3. So sánh format link với spec","Comment: comment_no=1, topic_id=12345
Reply: comment_no=1, reply_no=2","- Comment link: https://pantip.com/topic/12345/comment1
- Reply link: https://pantip.com/topic/12345/comment1-2
- Cả 2 link đều click được và dẫn đến đúng comment/reply trên Pantip"
TC_PT_CMT_041,Integration,[Medium][Positive] Kiểm tra shard được tính đúng từ data_utime,"- Comment có data_utime là Unix timestamp","1. Crawl comment với data_utime=1717200000 (2024-06-01)
2. Kiểm tra field shard trong Mention và Identity","data_utime = 1717200000 (= 2024-06-01 UTC)","- Mention shard = 20240601
- Identity shard = 20240601
- Format YYYYMMDD, không phải timestamp raw"
TC_PT_CMT_042,Integration,[Medium][Positive] Kiểm tra id_reference map đúng topic_id của post gốc,"- Comment thuộc post topic_id=12345","1. Crawl comments của post topic_id=12345
2. Kiểm tra tất cả mentions trong Solr
3. Verify field id_reference","Post topic_id = 12345
Comments: 5 comments với comment_no từ 1-5","- Tất cả 5 mention có id_reference=12345
- Giúp trace ngược từ comment về post gốc
- Không bị null hoặc sai topic_id"
TC_PT_CMT_043,Integration,[Medium][Negative] Không có data Pantip post bị nhầm thành comment (mention_type=1 thay vì 2),"- Luồng comment chạy đồng thời với luồng crawl post","1. Chạy cả 2 luồng crawl post và crawl comment
2. Kiểm tra Solr mentions
3. Verify mention_type","Post mention: mention_type=1, source_type=1
Comment mention: mention_type=2, source_type=1","- Post mentions có mention_type=1
- Comment/Reply mentions có mention_type=2
- Không có nhầm lẫn giữa 2 loại
- mention_type_details=2 cho comment"
TC_PT_CMT_044,Integration,[Low][Edge] Source được update đúng sau khi crawl xong,"- Source updater đang chạy
- 1 post đã được crawl xong (next_id=null)","1. Chờ crawler hoàn thành 1 post
2. Kiểm tra MySQL record với key PT_COMMENT_NO_COOKIE_CRAWLING_LOADER
3. Kiểm tra Redis lock đã được release","Post topic_id=12345 crawl xong hoàn toàn","- MySQL: last_crawl được update với timestamp hiện tại
- Redis: key PTCommentNoCookieCrawlingLoader:12345 không còn tồn tại (released)
- Source sẵn sàng cho lần crawl tiếp theo"
TC_PT_CMT_045,Integration,[Low][Edge] Service restart giữa chừng – không mất data và không duplicate,"- Crawler service bị restart khi đang xử lý giữa chừng","1. Crawler đang process comment giữa chừng
2. Kill -9 Crawler service
3. Restart Crawler
4. Quan sát queue và data","Service bị kill khi đang xử lý topic_id=12345, page=3 của 5 pages","- Message được requeue tự động (RabbitMQ auto-ack config)
- Sau restart, Crawler tiếp tục từ message chưa được ack
- Không có gap data (missing comments)
- Không tạo duplicate (upsert logic)"
